time,actualPrice,volume,
0930,13.99,35146,
0931,13.99,44084,
0932,13.96,56049,
0933,14.01,63693,
0934,13.99,73193,
0935,14.01,79750,
0936,14.01,87128,
0937,14.05,93481,
0938,14.00,105165,
0939,13.97,116470,
0940,13.96,124386,
0941,14.00,133620,
0942,13.95,151477,
0943,13.82,182188,
0944,13.88,192244,
0945,13.76,219433,
0946,13.80,230604,
0947,13.83,240645,
0948,13.83,247057,
0949,13.72,271476,
0950,13.73,288088,
0951,13.68,327152,
0952,13.67,342905,
0953,13.68,356346,
0954,13.71,366350,
0955,13.70,380120,
0956,13.71,387280,
0957,13.72,393900,
0958,13.65,410487,
0959,13.63,427100,
1000,13.63,444768,
1001,13.61,458004,
1002,13.60,487172,
1003,13.61,495799,
1004,13.65,506791,
1005,13.67,515090,
1006,13.69,519868,
1007,13.69,527431,
1008,13.69,531653,
1009,13.73,535096,
1010,13.74,539693,
1011,13.74,546537,
1012,13.77,553347,
1013,13.83,560676,
1014,13.78,568496,
1015,13.77,574178,
1016,13.80,577791,
1017,13.79,582975,
1018,13.78,585214,
1019,13.80,589849,
1020,13.81,593205,
1021,13.82,597415,
1022,13.83,600181,
1023,13.79,605358,
1024,13.80,610790,
1025,13.80,614519,
1026,13.84,618166,
1027,13.84,620391,
1028,13.87,624797,
1029,13.85,629416,
1030,13.86,631840,
1031,13.89,645865,
1032,13.95,653415,
1033,13.94,659554,
1034,13.89,662176,
1035,13.90,663788,
1036,13.91,666950,
1037,13.89,669872,
1038,13.87,671309,
1039,13.88,673112,
1040,13.87,674097,
1041,13.88,675312,
1042,13.86,677470,
1043,13.89,682762,
1044,13.87,685572,
1045,13.84,688694,
1046,13.81,690700,
1047,13.83,695499,
1048,13.85,698641,
1049,13.88,700447,
1050,13.87,702040,
1051,13.90,703932,
1052,13.85,708437,
1053,13.87,710466,
1054,13.88,711291,
1055,13.89,713413,
1056,13.90,717002,
1057,13.89,717771,
1058,13.88,719007,
1059,13.89,722465,
1100,13.88,723164,
1101,13.90,725402,
1102,13.90,730118,
1103,13.90,732185,
1104,13.90,733340,
1105,13.88,735398,
1106,13.89,736069,
1107,13.89,739013,
1108,13.88,740254,
1109,13.86,741774,
1110,13.85,744837,
1111,13.83,748389,
1112,13.83,750309,
1113,13.83,751770,
1114,13.82,759568,
1115,13.81,761818,
1116,13.82,763508,
1117,13.82,765236,
1118,13.84,767610,
1119,13.84,768833,
1120,13.83,770357,
1121,13.82,772445,
1122,13.81,774984,
1123,13.84,776968,
1124,13.82,777868,
1125,13.82,779142,
1126,13.83,780737,
1127,13.86,782037,
1128,13.86,783179,
1129,13.88,784420,
1130,13.86,784516,
1300,13.81,788310,
1301,13.82,789901,
1302,13.83,791164,
1303,13.84,791805,
1304,13.84,793102,
1305,13.83,794358,
1306,13.83,796196,
1307,13.84,797359,
1308,13.84,797830,
1309,13.83,799065,
1310,13.83,800127,
1311,13.85,802584,
1312,13.84,803489,
1313,13.84,804013,
1314,13.84,804590,
1315,13.86,808464,
1316,13.86,811226,
1317,13.85,813154,
1318,13.88,814617,
1319,13.90,818018,
1320,13.88,819381,
1321,13.89,821132,
1322,13.90,824062,
1323,13.94,831875,
1324,13.96,836020,
1325,13.94,838616,
1326,13.93,841989,
1327,13.92,845464,
1328,13.89,848291,
1329,13.89,849778,
1330,13.88,851444,
1331,13.89,852966,
1332,13.88,854213,
1333,13.88,855258,
1334,13.89,857736,
1335,13.90,858839,
1336,13.88,860408,
1337,13.86,862673,
1338,13.85,868906,
1339,13.86,870106,
1340,13.86,871438,
1341,13.89,873258,
1342,13.88,873911,
1343,13.88,874670,
1344,13.89,877023,
1345,13.88,879193,
1346,13.88,881055,
1347,13.85,885618,
1348,13.87,888107,
1349,13.85,889115,
1350,13.86,890280,
1351,13.85,893162,
1352,13.84,894444,
1353,13.84,895931,
1354,13.82,901215,
1355,13.78,909279,
1356,13.80,911326,
1357,13.80,913886,
1358,13.83,915194,
1359,13.86,919126,
1400,13.87,921012,
1401,13.87,922044,
1402,13.83,923589,
1403,13.82,924344,
1404,13.82,925996,
1405,13.82,927136,
1406,13.81,928241,
1407,13.79,935255,
1408,13.77,942117,
1409,13.78,946097,
1410,13.78,948548,
1411,13.76,952915,
1412,13.80,957902,
1413,13.81,962502,
1414,13.85,964894,
1415,13.85,966653,
1416,13.84,967971,
1417,13.83,969152,
1418,13.83,970572,
1419,13.84,971581,
1420,13.86,973591,
1421,13.84,975868,
1422,13.82,978481,
1423,13.83,982644,
1424,13.84,984375,
1425,13.86,986546,
1426,13.89,991753,
1427,13.88,993807,
1428,13.89,997054,
1429,13.87,999382,
1430,13.85,1003229,
1431,13.85,1004825,
1432,13.85,1007933,
1433,13.85,1009100,
1434,13.85,1012007,
1435,13.84,1016026,
1436,13.85,1020041,
1437,13.85,1023383,
1438,13.86,1027787,
1439,13.86,1031563,
1440,13.86,1037184,
1441,13.85,1039448,
1442,13.86,1043565,
1443,13.86,1048586,
1444,13.87,1052951,
1445,13.86,1056913,
1446,13.88,1060391,
1447,13.89,1063006,
1448,13.89,1067920,
1449,13.87,1072022,
1450,13.84,1076593,
1451,13.83,1082596,
1452,13.83,1085985,
1453,13.83,1090504,
1454,13.84,1094011,
1455,13.85,1098430,
1456,13.86,1103706,
1457,13.86,1103902,
1458,13.86,1103902,
1459,13.86,1103902,
1500,13.85,1116570,
